timestamp,request_id,phase,client_budget,latency_ms,status_code,error_code,price,token_usage,rejected,error_msg
1773074590409,2,warmup,10,58,200,0,,0,false,
1773074590413,3,warmup,50,62,200,0,,0,false,
1773074590420,1,warmup,10,69,200,0,,0,false,
1773074590481,5,warmup,10,57,200,0,,0,false,
1773074590487,4,warmup,10,67,200,0,,0,false,
1773074590494,6,warmup,10,63,200,0,,0,false,
1773074590557,7,warmup,100,64,200,0,,0,false,
1773074590560,8,warmup,10,62,200,0,,0,false,
1773074590569,9,warmup,10,64,200,0,,0,false,
1773074590633,11,warmup,50,63,200,0,,0,false,
1773074590634,10,warmup,50,66,200,0,,0,false,
1773074590645,12,warmup,10,64,200,0,,0,false,
1773074590705,14,warmup,10,61,200,0,,0,false,
1773074590713,13,warmup,10,69,200,0,,0,false,
1773074590714,15,warmup,50,57,200,0,,0,false,
1773074590783,16,warmup,50,67,200,0,,0,false,
1773074590785,18,warmup,50,61,200,0,,0,false,
1773074590791,17,warmup,50,66,200,0,,0,false,
1773074590859,20,warmup,100,63,200,0,,0,false,
1773074590859,19,warmup,100,65,200,0,,0,false,
1773074590870,21,warmup,10,68,200,0,,0,false,
1773074590926,22,warmup,10,56,200,0,,0,false,
1773074590928,23,warmup,10,58,200,0,,0,false,
1773074590943,24,warmup,10,62,200,0,,0,false,
1773074591002,25,warmup,50,65,200,0,,0,false,
1773074591003,26,warmup,10,65,200,0,,0,false,
1773074591020,27,warmup,100,65,200,0,,0,false,
1773074591071,28,warmup,10,58,200,0,,0,false,
1773074591072,29,warmup,50,58,200,0,,0,false,
1773074591090,30,warmup,10,58,200,0,,0,false,
1773074591144,32,warmup,50,61,200,0,,0,false,
1773074591147,31,warmup,10,64,200,0,,0,false,
1773074591165,33,warmup,100,64,200,0,,0,false,
1773074591210,34,warmup,100,55,200,0,,0,false,
1773074591218,35,warmup,10,60,200,0,,0,false,
1773074591240,36,warmup,100,64,200,0,,0,false,
