timestamp,request_id,phase,client_budget,latency_ms,status_code,error_code,price,token_usage,rejected,error_msg
1773074650029,2,warmup,10,60,200,0,,0,false,
1773074650030,3,warmup,10,61,200,0,,0,false,
1773074650037,1,warmup,50,68,200,0,,0,false,
1773074650106,5,warmup,100,65,200,0,,0,false,
1773074650106,4,warmup,100,66,200,0,,0,false,
1773074650109,6,warmup,50,62,200,0,,0,false,
1773074650178,8,warmup,10,61,200,0,,0,false,
1773074650181,7,warmup,50,65,200,0,,0,false,
1773074650185,9,warmup,100,65,200,0,,0,false,
1773074650248,11,warmup,50,56,200,0,,0,false,
1773074650254,12,warmup,10,58,200,0,,0,false,
1773074650258,10,warmup,100,70,200,0,,0,false,
1773074650318,13,warmup,10,58,200,0,,0,false,
1773074650331,15,warmup,100,62,200,0,,0,false,
1773074650332,14,warmup,100,67,200,0,,0,false,
1773074650392,16,warmup,100,64,200,0,,0,false,
1773074650399,17,warmup,10,57,200,0,,0,false,
1773074650404,18,warmup,100,61,200,0,,0,false,
1773074650460,19,warmup,50,57,200,0,,0,false,
1773074650468,21,warmup,50,53,200,0,,0,false,
1773074650473,20,warmup,10,63,200,0,,0,false,
1773074650538,22,warmup,10,66,200,0,,0,false,
1773074650539,23,warmup,100,59,200,0,,0,false,
1773074650544,24,warmup,10,60,200,0,,0,false,
1773074650610,25,warmup,10,61,200,0,,0,false,
1773074650610,26,warmup,10,61,200,0,,0,false,
1773074650615,27,warmup,100,60,200,0,,0,false,
1773074650626,30,warmup,10,0,200,-32002,,0,true,"请求被限流, 超过速率限制"
1773074650682,29,warmup,50,61,200,0,,0,false,
1773074650690,28,warmup,50,69,200,0,,0,false,
1773074650758,32,warmup,10,57,200,0,,0,false,
1773074650760,31,warmup,10,67,200,0,,0,false,
1773074650797,33,warmup,10,69,200,0,,0,false,
1773074650831,34,warmup,100,61,200,0,,0,false,
1773074650831,35,warmup,10,60,200,0,,0,false,
1773074650842,37,warmup,100,0,200,-32002,,0,true,"请求被限流, 超过速率限制"
1773074650869,36,warmup,10,61,200,0,,0,false,
1773074650907,38,warmup,10,65,200,0,,0,false,
1773074650944,39,warmup,10,63,200,0,,0,false,
1773074650955,42,warmup,100,0,200,-32002,,0,true,"请求被限流, 超过速率限制"
1773074650971,40,warmup,10,53,200,0,,0,false,
1773074651011,41,warmup,10,67,200,0,,0,false,
1773074651052,43,warmup,10,68,200,0,,0,false,
1773074651063,46,warmup,10,0,200,-32002,,0,true,"请求被限流, 超过速率限制"
1773074651089,44,warmup,50,67,200,0,,0,false,
1773074651112,45,warmup,10,56,200,0,,0,false,
1773074651156,47,warmup,100,55,200,0,,0,false,
1773074651166,50,warmup,50,0,200,-32002,,0,true,"请求被限流, 超过速率限制"
1773074651183,48,warmup,50,60,200,0,,0,false,
1773074651228,49,warmup,50,63,200,0,,0,false,
1773074651251,51,warmup,10,56,200,0,,0,false,
